"country","year","kWh","continent"
"Abkhazia",1960,,
"Afghanistan",1960,,"Asia"
"Akrotiri and Dhekelia",1960,,
"Albania",1960,,"Europe"
"Algeria",1960,,"Africa"
"American Samoa",1960,,"Oceania"
"Andorra",1960,,"Europe"
"Angola",1960,,"Africa"
"Anguilla",1960,,"Americas"
"Antigua and Barbuda",1960,,"Americas"
"Argentina",1960,,"Americas"
"Armenia",1960,,"Asia"
"Aruba",1960,,"Americas"
"Australia",1960,18778721348.1819,"Oceania"
"Austria",1960,12780099014.1381,"Europe"
"Azerbaijan",1960,,"Asia"
"Bahamas",1960,,"Americas"
"Bahrain",1960,,"Asia"
"Bangladesh",1960,,"Asia"
"Barbados",1960,,"Americas"
"Belarus",1960,,"Europe"
"Belgium",1960,14427080019.3238,"Europe"
"Belize",1960,,"Americas"
"Benin",1960,,"Africa"
"Bermuda",1960,,"Americas"
"Bhutan",1960,,"Asia"
"Bolivia",1960,,"Americas"
"Bosnia and Herzegovina",1960,,"Europe"
"Botswana",1960,,"Africa"
"Brazil",1960,,"Americas"
"British Virgin Islands",1960,,"Americas"
"Brunei",1960,,"Asia"
"Bulgaria",1960,,"Europe"
"Burkina Faso",1960,,"Africa"
"Burundi",1960,,"Africa"
"Cambodia",1960,,"Asia"
"Cameroon",1960,,"Africa"
"Canada",1960,1.00839e+11,"Americas"
"Cape Verde",1960,,"Africa"
"Cayman Islands",1960,,"Americas"
"Central African Republic",1960,,"Africa"
"Chad",1960,,"Africa"
"Channel Islands",1960,,
"Chile",1960,,"Americas"
"China",1960,,"Asia"
"Christmas Island",1960,,"Oceania"
"Cocos Island",1960,,
"Colombia",1960,,"Americas"
"Comoros",1960,,"Africa"
"Congo, Dem. Rep.",1960,,"Africa"
"Congo, Rep.",1960,,"Africa"
"Cook Is",1960,,"Oceania"
"Costa Rica",1960,,"Americas"
"Cote d'Ivoire",1960,,"Africa"
"Croatia",1960,,"Europe"
"Cuba",1960,,"Americas"
"Cyprus",1960,,"Asia"
"Czech Republic",1960,,"Europe"
"Czechoslovakia",1960,,
"Denmark",1960,4990181965.55466,"Europe"
"Djibouti",1960,,"Africa"
"Dominica",1960,,"Americas"
"Dominican Republic",1960,,"Americas"
"East Germany",1960,,
"Ecuador",1960,,"Americas"
"Egypt",1960,,"Africa"
"El Salvador",1960,,"Americas"
"Equatorial Guinea",1960,,"Africa"
"Eritrea",1960,,"Africa"
"Eritrea and Ethiopia",1960,,
"Estonia",1960,,"Europe"
"Ethiopia",1960,,"Africa"
"Faeroe Islands",1960,,"Europe"
"Falkland Is (Malvinas)",1960,,"Americas"
"Fiji",1960,,"Oceania"
"Finland",1960,8298687498.33508,"Europe"
"France",1960,66806144088.4386,"Europe"
"French Guiana",1960,,"Americas"
"French Polynesia",1960,,"Oceania"
"Gabon",1960,,"Africa"
"Gambia",1960,,"Africa"
"Georgia",1960,,"Asia"
"Germany",1960,115538998413.251,"Europe"
"Ghana",1960,,"Africa"
"Gibraltar",1960,,"Europe"
"Greece",1960,2014428823.08286,"Europe"
"Greenland",1960,,"Americas"
"Grenada",1960,,"Americas"
"Guadeloupe",1960,,"Americas"
"Guam",1960,,"Oceania"
"Guatemala",1960,,"Americas"
"Guernsey",1960,,"Europe"
"Guinea",1960,,"Africa"
"Guinea-Bissau",1960,,"Africa"
"Guyana",1960,,"Americas"
"Haiti",1960,,"Americas"
"Holy See",1960,,"Europe"
"Honduras",1960,,"Americas"
"Hong Kong, China",1960,,"Asia"
"Hungary",1960,,"Europe"
"Iceland",1960,460108455.693895,"Europe"
"India",1960,,"Asia"
"Indonesia",1960,,"Asia"
"Iran",1960,,"Asia"
"Iraq",1960,,"Asia"
"Ireland",1960,1966184881.56685,"Europe"
"Isle of Man",1960,,"Europe"
"Israel",1960,,"Asia"
"Italy",1960,48282604181.9373,"Europe"
"Jamaica",1960,,"Americas"
"Japan",1960,1.027e+11,"Asia"
"Jersey",1960,,"Europe"
"Jordan",1960,,"Asia"
"Kazakhstan",1960,,"Asia"
"Kenya",1960,,"Africa"
"Kiribati",1960,,"Oceania"
"North Korea",1960,,"Asia"
"South Korea",1960,,"Asia"
"United Korea (former)
",1960,,"Asia"
"Kosovo",1960,,
"Kuwait",1960,,"Asia"
"Kyrgyz Republic",1960,,"Asia"
"Lao",1960,,"Asia"
"Latvia",1960,,"Europe"
"Lebanon",1960,,"Asia"
"Lesotho",1960,,"Africa"
"Liberia",1960,,"Africa"
"Libya",1960,,"Africa"
"Liechtenstein",1960,,"Europe"
"Lithuania",1960,,"Europe"
"Luxembourg",1960,1428145542.56776,"Europe"
"Macao, China",1960,,"Asia"
"Macedonia, FYR",1960,,"Europe"
"Madagascar",1960,,"Africa"
"Malawi",1960,,"Africa"
"Malaysia",1960,,"Asia"
"Maldives",1960,,"Asia"
"Mali",1960,,"Africa"
"Malta",1960,,"Europe"
"Marshall Islands",1960,,"Oceania"
"Martinique",1960,,"Americas"
"Mauritania",1960,,"Africa"
"Mauritius",1960,,"Africa"
"Mayotte",1960,,"Africa"
"Mexico",1960,,"Americas"
"Micronesia, Fed. Sts.",1960,,"Oceania"
"Moldova",1960,,"Europe"
"Monaco",1960,,"Europe"
"Mongolia",1960,,"Asia"
"Montenegro",1960,,"Europe"
"Montserrat",1960,,"Americas"
"Morocco",1960,,"Africa"
"Mozambique",1960,,"Africa"
"Myanmar",1960,,"Asia"
"Namibia",1960,,"Africa"
"Nauru",1960,,"Oceania"
"Nepal",1960,,"Asia"
"Netherlands",1960,15453737406.5555,"Europe"
"Netherlands Antilles",1960,,"Americas"
"New Caledonia",1960,,"Oceania"
"New Zealand",1960,5828491441.09959,"Oceania"
"Ngorno-Karabakh",1960,,
"Nicaragua",1960,,"Americas"
"Niger",1960,,"Africa"
"Nigeria",1960,,"Africa"
"Niue",1960,,"Oceania"
"Norfolk Island",1960,,"Oceania"
"Northern Cyprus",1960,,"Asia"
"Northern Mariana Islands",1960,,"Oceania"
"Norway",1960,27506148845.1343,"Europe"
"Oman",1960,,"Asia"
"Pakistan",1960,,"Asia"
"Palau",1960,,"Oceania"
"Panama",1960,,"Americas"
"Papua New Guinea",1960,,"Oceania"
"Paraguay",1960,,"Americas"
"Peru",1960,,"Americas"
"Philippines",1960,,"Asia"
"Pitcairn",1960,,"Oceania"
"Poland",1960,26262236589.4839,"Europe"
"Portugal",1960,2844080521.88623,"Europe"
"Puerto Rico",1960,,"Americas"
"Qatar",1960,,"Asia"
"Reunion",1960,,"Africa"
"Romania",1960,,"Europe"
"Russia",1960,,"Europe"
"Rwanda",1960,,"Africa"
"St. Barthélemy",1960,,"Americas"
"St. Helena",1960,,"Africa"
"St. Kitts and Nevis",1960,,"Americas"
"St. Lucia",1960,,"Americas"
"St. Martin",1960,,
"St. Vincent and the Grenadines",1960,,"Americas"
"St.-Pierre-et-Miquelon",1960,,"Americas"
"Samoa",1960,,"Oceania"
"San Marino",1960,,"Europe"
